scale,run_id,mode,frame,active_cycles,blocked_cycles,wall_cycles,latency_ns,active_wall_pct,idle_rate_permille,background_units_per_second,framebuffer_crc,status,error,timeout
S4,PILOT-S4-4F-20260912,CPU_ONLY,3,2000933,0,2427943,73574030,82.41268431754781,1000,0,2540370425,PASS,NONE,False
S4,PILOT-S4-4F-20260912,CPU_ONLY,4,1623003,0,1964363,59526151,82.6223564585568,1000,0,2242500357,PASS,NONE,False
S4,PILOT-S4-4F-20260912,CPU_MATMUL,1,1829979,0,2036780,61720606,89.84666974341853,999,0,3881751137,PASS,NONE,False
S4,PILOT-S4-4F-20260912,CPU_MATMUL,2,2036431,0,2431244,73674060,83.7608648083039,1000,0,306540557,PASS,NONE,False
S4,PILOT-S4-4F-20260912,CPU_MATMUL,3,1896238,0,2431426,73679575,77.98871937702401,1000,0,2540370425,PASS,NONE,False
S4,PILOT-S4-4F-20260912,CPU_MATMUL,4,1521595,0,1965396,59557454,77.41925800194973,1000,0,2242500357,PASS,NONE,False
S4,PILOT-S4-4F-20260912,SCENE_CONTROLLER,1,5104,1120333,1145874,34723454,0.44542419149051293,999,57,3881751137,PASS,NONE,False
S4,PILOT-S4-4F-20260912,SCENE_CONTROLLER,2,1738,1021823,1047280,31735757,0.165953708654801,1000,51,1524740869,PASS,NONE,False
S4,PILOT-S4-4F-20260912,SCENE_CONTROLLER,3,5072,1020565,1045995,31696818,0.48489715534013067,1000,50,4020284969,PASS,NONE,False
S4,PILOT-S4-4F-20260912,SCENE_CONTROLLER,4,1738,1020958,1042936,31604121,0.1666449331502604,999,43,221608681,PASS,NONE,False
